Integral: 0.999356	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.001365	 observed error: 0.000865	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.998724	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.001464	 observed error: 0.000865	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999606	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000315	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999336	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999924	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000689	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999745	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999304	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.001126	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999233	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.998558	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999018	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000155	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.001127	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.998554	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999066	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000428	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000349	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999905	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999435	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999634	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.998805	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000078	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.997925	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000244	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999407	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000145	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.002299	 observed error: 0.000865	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000536	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000630	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.998053	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999736	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000342	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999735	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000139	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.998676	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999886	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.001077	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.001474	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999884	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999694	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.001138	 observed error: 0.000865	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000012	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999263	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999332	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.997534	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
